"Résolution
 + date","
Nature","
Adresse"
"CA05 170349
28 sept. 2005","Aménagement des galeries et d'un escalier faisant saillie dans la marge arrière","3975, boulevard Cavendish"
"CA06 170007
16 janvier 2006","Marge latérale de 0,2 m pour la construction d’un nouveau bâtiment","Nouveau bâtiment localisé entre le 5151 et 5175, rue Sherbrooke O."
"CA06 170075
6 mars 2006","Alignement de construction afin de permettre un recul de 3,75 m de la limite de la propriété avant
Exigence de respecter le paralléisme en vue de permettre un agrandissement du bâtiment","6435, rue Saint-Jacques"
"CA06 170076
6 mars 2006","Construction projetée d’un bâtiment de 6 étages avec mezzanine
Alignement de construction
marge de recul latérale","5650, chemin de la Côte-des-Neiges"
"CA06 170077
6 mars 2006","Aménagement d'un escalier faisant saillie dans la marge arrière","5700, rue Sherbrooke Ouest"
"CA06 170101
3 avril 2006","Dépassement de la hauteur maximale d'un toit jusqu'à 2,2 mètres afin d'y implanter des lanterneaux sur le toit ","4245, boul. Décarie (école Villa Maria)"
"CA06 170142 
1er mai 2006","Alignement de construction pour un agrandissement à l'avant du bâtiment existant","6875, boulevard Décarie"
"CA06 170272
7 août 2006","Alignement de construction afin de permettre l’aménagement d’un café-terrasse dans la cour avant","6025, chemin de la Côte-des-Neiges"
"CA06 170302 
5 septembre 06","Aménagement d’une marquise faisant saillie de 5,68 m","6417-6445, boulevard Décarie"
"CA07 170039
5 février 2007","Alignement de construction pour la construction de l’agrandissement au niveau du sous-sol d’une synagogue","1902, avenue Van Horne"
"CA07 170040
5 février 2007","Agrandissement en cour avant avec un alignement de construction","4720, avenue Méridian"
"CA07 170092
11 avril 2007","Remplacement du parement extérieur par un panneau de béton léger et un mur rideau en verre en façade","4545, chemin Queen-Mary"
"CA07 170133
7 mai 2007","Aménagement paysager d’un café-terrasse rattaché à un restaurant","6417-6445, boulevard Décarie"
"CA07 170168
4 juin 2007","Construction d’un immeuble de 4 étages","Décarie et La Barre"
"CA07 170203
20 juin 2007","Marge latérale minimale requise entre un bâtiment et une limite latérale de terrain","4048 à 4060, rue Jean-Talon Ouest"
"CA07 170204
20 juin 2007","Superficie minimale de la façade située à l’alignement de construction","5027, avenue Glencairn"
"CA07 170243
6 août 2007","Construction d’un immeuble de 4 étages","de la Savanne et Décarie"
"CA07 170329
1er octobre 2007","Appareil de climatisation","5105, chemin de la Côte-Sainte-Antoine"
"CA08 170020
14 janvier 2008","Alignement de construction exigé pour un bâtiment isolé","4720, chemin Circle"
"CA08 170077
3 mars 2008","Saillie maximale autorisée pour la construction d’une marquise","4235, avenue Prince-of-Wales"
"CA08 170078
3 mars 2008","Permettre l’aménagement d’une mezzanine sur le toit du bâtiment","4439 – 4441, avenue Beaconsfield"
"CA08 170162
5 mai 2008","Marge latérale du côté nord-est d’un bâtiment existant afin de permettre une marge latérale de 1,14 m","4030 – 4032, avenue Lacombe"
"CA08 170163
5 mai 2008","Hauteur maximale en mètres et en étages d’un bâtiment afin de permettre l’aménagement d’un volume ne dépassant pas la hauteur des blocs 7 et 9 adjacents","3175, chemin de la Côte-Sainte-Catherine"
"CA08 170242
18 juin 2008","Autoriser une variation en hauteur d'au plus 0,5 mètre, afin de permettre l'ajout d'un puit mécanique en marge latérale du bloc 4 et d'une salle mécanique sur le toit du bloc 4","3175, chemin de la Côte-Sainte-Catherine"
"CA08 170305
2 sept. 2008","Permettre une clôture entourant en partie la propriété d'une hauteur maximale de 2 m, à l'intersection de deux voies publiques, sur une distance de 7 m, le long de chacune de ces voies publiques","5170, avenue Van Horne"
"CA08 170377
3 nov. 2008","Marge latérale afin de permettre un empiètement de 1,5 m","7352, chemin Canora"
"CA09 170256
22 juin 2009","Agrandissement d’une hauteur maximale de 15 mètres et de 3 étages du pavillon I de l’Hôpital Général Juif, sur le terrain ouest du complexe hospitalier","4333, chemin de la Côte-Sainte-Catherine"
"CA09 170293
3 août 2009","Agrandissement du poste de police de quartier","6255, avenue Somerled"
"CA10 170019
11 janvier 2010","Construction, à l’étage, d’une galerie et d’un escalier extérieur dans la marge latérale","5524 – 5526, avenue Notre-Dame-de-Grâce"
"CA10 170020
11 janvier 2010","Permettre un nombre minimal de 116 unités de stationnement","4000 à 4160, avenue Benny"
"CA10 170021
11 janvier 2010","Construction d’un futur bâtiment afin de permettre une implantation en mode contigu","4515 – 4517, avenue Coolbrook"
"CA10 170037
3 février 2010","Agrandir latéralement la propriété","390, Croissant Geneva"
"CA10 170224
16 août 2010","Rehausser de 1,8 m le dernier étage du bâtiment","3175, chemin de la Côte-Sainte-Catherine"
"CA10 170420
6 décembre 2010","Permettre l'occupation d'un toit du pavillon J.-Armand Bombardier par des équipements mécaniques","5155, avenue Decelles"
"CA11 170042
7 février 2011","Permettre une nouvelle construction","6735, avenue de Monkland"
"CA11 170150
3 mai 2011","Permettre une nouvelle construction","5350 à 5380, rue Sherbrooke Ouest et 2260, avenue Prud’homme"
"CA11 170151
3 mai 2011","Compléter l’aménagement paysager","3175, chemin de la 
Côte-Sainte-Catherine"
"CA11 170152
(3 mai 2011)","Permettre l’agrandissement du bâtiment","4565, avenue Montclair"
"CA11 170301
6 septembre 2011","Distance que doit préserver une galerie dans la cour arrière","3788, avenue Girouard"
"CA11 170462
5 décembre 2011","Permettre l'installation d'une clôture de 1,2 m en cour avant du bâtiment","6995, avenue Victoria"
"CA12 170040
6 février 2012","Permettre un dépassement total de 2,425 m pour la construction d’une mezzanine","3300, boul. Cavendish"
"CA12 170041
6 février 2012","Permettre l'installation de fenêtres et portes coulissantes","5350, rue Sherbrooke Ouest "
"CA12 170112
2 avril 2012","Permettre l'installation d'une clôture de 1,2 m en cour avant du bâtiment","2930, rue Fendall"
"CA12 170159
7 mai 2012","Permettre l’implantation en mode isolé d’un bâtiment résidentiel","4111, avenue Old Orchard"
"CA12 170239 
26 juin 2012 
1121378005 ","Hauteur d’une clôture et largeur des unités de stationnement","1001, boulevard Décarie (CUSM)"
"CA12 170284 
13 août 2012 
1120415006","Permettre un dépassement de la hauteur d’environ 3 m","5435, avenue Notre-Dame-de-Grâce"
"CA12 170310
5 septembre 2012 
1121378007","Permettre qu'un escalier d'issue extérieur et une passerelle au toit dépasse les 9 m autorisés ","Hôpital Catherine Booth, situé au 4400, avenue Walkley"
"CA12 170359 
10 octobre 2012 1120415008","Construction d’une mezzanine et d’un escalier sur le toit d’un bâtiment résidentiel","3300, boul. Cavendish"
"CA12 170388
5 novembre 2012 
1123779008","Dépassement hauteur autorisée permettant l’installation d’équipements mécaniques, de constructions hors toit, cheminées, antennes, évents et parapet","3755, chemin de la Côte-Sainte-Catherine
Hôpital Général Juif"
"CA12 170462 
3 décembre 2012 
1120415014","Dérogation à la hauteur de la clôture afin de permettre l’installation d’une clôture de plus de 90 cm dans une cour avant d’un bâtiment résidentiel ","Lot 2 650 670"
"CA13 170014
14 janvier 2013 
1120415021","Dérogation à l’alignement de construction du bâtiment sur Ellendale","3175, chemin Côte-Ste-Catherine – Hôpital Ste-Justine"
"CA13 170015
14 janvier 2013
1120415020","Dérogation à la hauteur des dépassements autorisés et à l’implantation des murs avant, latéraux et arrière autorisés par la résolution CA11 170071 (PP-52)","4901, rue Jean-Talon Ouest "
"CA13 170016
14 janvier 2013
1126194001","Dérogation à la hauteur minimale, au taux d’implantation maximal et aux conditions d’agrandissement","4400, avenue Walkley – Hôpital Catherine Booth "
"CA13 170127
3 avril 2013
1120691001","Dérogation au taux d'implantation maximal afin de permettre deux agrandissements au bâtiment ","5151, chemin de la Côte-Sainte-Catherine"
"CA13 170128
3 avril 2013
1133779004","Dérogation à la construction d'un nouveau bâtiment sur le lot 2 604 011, afin de permettre un taux d'implantation de 43 %","4310, avenue de Kensington"
"CA13 170166
6 mai 2013
1131378002","Dérogation à l’implantation d’une piscine et de sa terrasse en cour avant","7481, rue Mount "
"CA13 170167
6 mai 2013
1133779006","Dérogation aux marges latérales et arrière pour les lots projetés et au taux d’implantation ","6225, avenue Godfrey"
"CA13 170168
6 mai 2013
1130415003","Dérogation à l’emplacement d’un équipement mécanique de type transformateur sur socle","5055-5059, rue Paré "
"CA13 170256 
25 juin 2013 
1133779009","Dérogation au retrait minimal à respecter par rapport à une façade pour l’installation d’un écran de toit","3745, rue Jean-Brillant (Centre hospitalier St-Mary) "
"CA13 170257 
25 juin 2013 
1133779008","Dérogation à la marge latérale ","4740, avenue Meridian "
"CA13 170294
12 août 2013 
1131378003","Dérogation à la proportion de la façade construite à l’alignement de construction autorisé pour permettre la construction d’une mezzanine sur le toit","4193, avenue Harvard "
"CA13 170339
3 septembre 2013 
1133779010","Dérogation à la superficie d’une façade afin de permettre l’agrandissement du bâtiment","7495, rue de Mulberry "
"CA13 170341
3 septembre 2013 
1133779011","Dérogation à l’installation d’appareils de climatisation ou thermopompes sur les balcons","6970, avenue Victoria "
"CA13 170410
9 décembre 2013
1130415007","Dérogation à l’apparence d’un nouveau bâtiment afin de permettre la construction du bâtiment","4970, place de la Savane"
"CA14 170291 
11 août 2014 
1143779004 ","Dérogation mineure à l'alignement de construction du bâtiment afin de permettre la construction d'une mezzanine","4586, avenue Hingston,"
"CA14 170323 
2 septembre 2014 
1140415008 ","Dérogation mineure à l’alignement de construction afin de permettre des travaux de réhabilitation complète sur les quatre façades du bâtiment ","6767, chemin de la Côte-des-Neiges "
"CA14  170369 
6 octobre 2014 
1140415009 ","Dérogation mineure à la hauteur de la clôture autorisée, afin de permettre l’installation d’une clôture de plus de 2 m sur une partie du terrain.","7475, boulevard Décarie "
"CA14 170406
3 novembre 2014 
1143779007","Dérogation mineure à la proportion de la façade construite à l’alignement de construction afin de permettre la construction d’une mezzanine sur le toit du bâtiment ","5417-5419, place Grovehill "
"CA15 170014
12 janvier 2015 
1141462018","Dérogation mineure au taux d'implantation minimal prescrit afin de permettre une opération cadastrale visant à diviser l'immeuble située aux 4901-4903, avenue Van Horne en deux propriétés distinctes","4901-4903, avenue Van Horne/ dérogation corrigée à la séance du 16 mars 2015 "
"CA15 170074
16 mars 2015 
1141462018","Dérogation mineure au taux d’implantation minimal prescrit par l’article 40 afin de permettre une opération cadastrale visant à diviser l’immeuble ","4901-4903, avenue Van Horne"
